ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
1.0	0	1	0	RXFP1	5.1833E-9	relaxin family peptide receptor 1	2011	2011	0	1	0.4	1		0.61	0.63	0
1.0	0	25	0	SUCLG2	4.0462E-12	succinate-CoA ligase GDP-forming subunit beta	2013	2013	0	1	0.4	6		0.64	0.54	0
1.0	0	63	0	MED17	6.744E-6	mediator complex subunit 17	2012	2012	0	1	0.4	5		0.73	0.5	0
1.0	0	59	0	MAOA		monoamine oxidase A	2011	2011	0	1	0.4	41		0.47	0.92	0
1.0	0	4	0	CCL22	0.0080207	C-C motif chemokine ligand 22	2019	2019	0	1	0.4	3		0.49	0.83	0
1.0	0	95	0	SLC1A1	1.3426E-8	solute carrier family 1 member 1	2011	2011	0	1	0.4	18		0.57	0.75	0
1.0	0	135	0	SRD5A2	7.5037E-10	steroid 5 alpha-reductase 2	2011	2011	0	1	0.4	14		0.56	0.79	0
1.0	0	3	0	NR2C2	1.0	nuclear receptor subfamily 2 group C member 2	2012	2012	0	1	0.4	1		0.5	0.83	0
1.0	0	713	0	ABCC9	6.7453E-6	ATP binding cassette subfamily C member 9	2011	2011	0	1	0.4	54		0.51	0.83	0
1.0	0	16	0	UST	0.013806	uronyl 2-sulfotransferase	2011	2011	0	1	0.4	5		0.68	0.67	0
1.0	0	1	0	CXCL13	0.74418	C-X-C motif chemokine ligand 13	2019	2019	0	1	0.4	5		0.44	0.83	0
1.0	0	0	0	OSR2	0.66285	odd-skipped related transciption factor 2	2011	2011	0	1	0.4	1		0.73	0.46	0
1.0	0	5	0	DUSP1	0.32476	dual specificity phosphatase 1	2011	2011	0	1	0.4	11		0.47	0.88	0
1.0	0	13	0	NCOA6	1.0	nuclear receptor coactivator 6	2012	2012	0	1	0.4	7		0.59	0.79	0
1.0	0	0	0	FMO2	1.568E-5	flavin containing dimethylaniline monoxygenase 2	2011	2011	0	1	0.4	4		0.65	0.67	0
1.0	0	6	0	SLC7A8	1.4677E-6	solute carrier family 7 member 8	2011	2011	0	1	0.4	3		0.68	0.71	0
1.0	0	56	0	ANKRD1	7.4905E-9	ankyrin repeat domain 1	2011	2011	0	1	0.4	16		0.55	0.75	0
1.0	0	133	0	NR3C1	1.0	nuclear receptor subfamily 3 group C member 1	2012	2012	0	1	0.4	47		0.39	0.92	0
1.0	0	30	0	RBPJ	1.0	recombination signal binding protein for immunoglobulin kappa J region	2012	2012	0	1	0.4	9		0.53	0.79	0
1.0	0	95	0	ITGA2	2.8962E-16	integrin subunit alpha 2	2011	2011	0	1	0.4	23		0.47	0.83	0
1.0	0	58	0	LAMB1	4.5176E-13	laminin subunit beta 1	2011	2011	0	1	0.4	15		0.55	0.83	0
1.0	0	4	0	PTGFR	0.0040024	prostaglandin F receptor	2015	2015	0	1	0.4	3		0.63	0.67	0
1.0	0	36	0	RORB	1.0	RAR related orphan receptor B	2011	2011	0	1	0.4	7		0.53	0.83	0
1.0	0	0	0	SELENOP	2.6076E-5	selenoprotein P	2011	2011	0	1	0.4	16		0.54	0.83	0
1.0	0	0	0	TXNIP	0.0024644	thioredoxin interacting protein	2011	2011	0	1	0.4	5		0.47	0.88	0
1.0	0	0	0	DEPP1	0.38251	DEPP autophagy regulator 1	2011	2011	0	1	0.4	4		0.68	0.54	0
1.0	0	0	0	CYP26A1	3.6514E-10	cytochrome P450 family 26 subfamily A member 1	2011	2011	0	1	0.4	7		0.61	0.83	0
1.0	0	4482	0	FBN1	1.0	fibrillin 1	2011	2011	0	1	0.4	107		0.41	0.79	0
1.0	0	0	0	ITGB3BP	0.08037	integrin subunit beta 3 binding protein	2012	2012	0	1	0.4	1		0.71	0.5	0
1.0	0	2	0	MED4	3.3172E-4	mediator complex subunit 4	2012	2012	0	1	0.4	1		0.8	0.42	0
1.0	0	115	0	SLC40A1	0.99898	solute carrier family 40 member 1	2011	2011	0	1	0.4	12		0.51	0.88	0
1.0	0	9	0	NDNF	0.8512	neuron derived neurotrophic factor	2011	2011	0	1	0.4	16		0.6	0.79	0
1.0	0	3	0	SLC16A6	0.074333	solute carrier family 16 member 6	2011	2011	0	1	0.4	1		0.77	0.38	0
1.0	0	1	0	MED14		mediator complex subunit 14	2012	2012	0	1	0.4	3		0.81	0.29	0
1.0	0	6	0	NR1D2	0.0045825	nuclear receptor subfamily 1 group D member 2	2012	2012	0	1	0.4	5		0.63	0.71	0
1.0	0	1	0	MED16	1.0169E-29	mediator complex subunit 16	2012	2012	0	1	0.4	3		0.74	0.42	0
1.0	0	4	0	BRD8	0.0012913	bromodomain containing 8	2012	2012	0	1	0.4	1		0.59	0.71	0
1.0	0	1	0	SMPDL3A	9.7385E-10	sphingomyelin phosphodiesterase acid like 3A	2011	2011	0	1	0.4	2		0.82	0.29	0
1.0	0	13	0	ANO4	6.1371E-5	anoctamin 4	2011	2011	0	1	0.4	6		0.7	0.54	0
1.0	0	10	0	AKR1C2	8.7374E-7	aldo-keto reductase family 1 member C2	2011	2011	0	1	0.4	12		0.59	0.71	0
1.0	0	20	0	LMOD1	0.99979	leiomodin 1	2011	2011	0	1	0.4	8		0.56	0.88	0
1.0	0	2	0	FAM180A	6.733E-5	family with sequence similarity 180 member A	2011	2011	0	1	0.4	2		0.85	0.21	0
1.0	0	143	0	ANKH	0.997	ANKH inorganic pyrophosphate transport regulator	2011	2011	0	1	0.4	18		0.56	0.83	0
1.0	0	0	0	CCL1	1.4343E-4	C-C motif chemokine ligand 1	2019	2019	0	1	0.4	8		0.56	0.88	0
1.0	0	0	0	SLC20A1	0.01085	solute carrier family 20 member 1	2011	2011	0	1	0.4	4		0.58	0.63	0
1.0	0	2	0	DCSTAMP	7.8796E-7	dendrocyte expressed seven transmembrane protein	2011	2011	0	1	0.4	3		0.7	0.42	0
1.0	0	1	0	SPARCL1	1.6082E-10	SPARC like 1	2011	2011	0	1	0.4	5		0.58	0.79	0
1.0	0	7	0	STC2	0.13827	stanniocalcin 2	2011	2011	0	1	0.4	4		0.55	0.75	0
1.0	0	4	0	CCNE2	0.94563	cyclin E2	2011	2011	0	1	0.4	9		0.58	0.79	0
1.0	0	0	0	HS3ST3B1	1.675E-4	heparan sulfate-glucosamine 3-sulfotransferase 3B1	2011	2011	0	1	0.4	1		0.78	0.29	0
1.0	0	14	0	ARHGAP28	5.4087E-10	Rho GTPase activating protein 28	2011	2011	0	1	0.4	2		0.75	0.5	0
1.0	0	6	0	CLDN1	0.021021	claudin 1	2011	2011	0	1	0.4	11		0.45	0.88	0
1.0	0	0	0	SCGB3A1	8.6949E-4	secretoglobin family 3A member 1	2011	2011	0	1	0.4	1		0.6	0.71	0
1.0	0	38	0	NCOR1	1.0	nuclear receptor corepressor 1	2012	2012	0	1	0.4	21		0.53	0.88	0
1.0	0	20	0	PLXNC1	7.2242E-4	plexin C1	2011	2011	0	1	0.4	1		0.64	0.71	0
1.0	0	5	0	CYB5A	0.037924	cytochrome b5 type A	2011	2011	0	1	0.4	6		0.59	0.75	0
1.0	0	3	0	NR2F6	8.636E-7	nuclear receptor subfamily 2 group F member 6	2012	2012	0	1	0.4	2		0.63	0.54	0
1.0	0	94	0	NEDD4L	0.99878	NEDD4 like E3 ubiquitin protein ligase	2011	2011	0	1	0.4	12		0.5	0.88	0
1.0	0	214	0	IFNGR1	4.5748E-4	interferon gamma receptor 1	2011	2011	0	1	0.4	20		0.48	0.92	0
1.0	0	3	0	IMPA2	5.6433E-8	inositol monophosphatase 2	2011	2011	0	1	0.4	10		0.65	0.58	0
1.0	0	0	0	AREG	0.0036614	amphiregulin	2011	2011	0	1	0.4	17		0.47	0.79	0
1.0	0	1	0	RASL11A	3.3592E-6	RAS like family 11 member A	2011	2011	0	1	0.4	2		0.81	0.17	0
1.0	0	33	0	TACSTD2	3.6014E-6	tumor associated calcium signal transducer 2	2011	2011	0	1	0.4	4		0.49	0.79	0
1.0	0	2	0	MAOB		monoamine oxidase B	2011	2011	0	1	0.4	22		0.52	0.92	0
1.0	0	1	0	RGS4	6.4218E-5	regulator of G protein signaling 4	2011	2011	0	1	0.4	3		0.6	0.71	0
1.0	0	23	0	THRA	0.9989	thyroid hormone receptor alpha	2012	2012	0	1	0.4	12		0.49	0.88	0
1.0	0	26	0	C1R	0.85504	complement C1r	2011	2011	0	1	0.4	10		0.61	0.71	0
	0	1	0	FAM163A	0.018936	family with sequence similarity 163 member A			0	0	0.4	1		0.83	0.21	0
